"filename", "language", "TypeScript", "CSS", "TypeScript JSX", "Prisma", "SQL", "comment", "blank", "total"
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\prisma\migrations\20240226154807_almost_working\migration.sql", "SQL", 0, 0, 0, 0, 36, 8, 12, 56
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\prisma\schema.prisma", "Prisma", 0, 0, 0, 25, 0, 0, 8, 33
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", -12, 0, 0, 0, 0, 0, 4, -8
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\api\blog_entry\route.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 7, 16
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\blog\[id]\page.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 0, 1, 22
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\blog\components\BlogCard.tsx", "TypeScript JSX", 0, 0, 21, 0, 0, 1, 1, 23
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\blog\components\TipTapContent.tsx", "TypeScript JSX", 0, 0, 39, 0, 0, 1, 3, 43
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\blog\page.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 1, 1, 4
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\dashboard\new_entry\components\BlogEntryForm.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 4, 2, 28
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\dashboard\new_entry\components\TextEditor.tsx", "TypeScript JSX", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\globals.css", "CSS", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\middleware.ts", "TypeScript", -1, 0, 0, 0, 0, 0, -2, -3
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\blog_entry.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 6, 66
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\post.ts", "TypeScript", -25, 0, 0, 0, 0, 0, -6, -31
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\user.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\types\next-auth.d.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 3, 18
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\zod.ts", "TypeScript", -1, 0, 0, 0, 0, 1, 0, 0
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\tailwind.config.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 47, 3, 104, 25, 36, 19, 40, 274
