"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "Markdown", "JSON", "XML", "Prisma", "SQL", "comment", "blank", "total"
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\.eslintrc.json", "JSON with Comments", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\README.md", "Markdown", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 14, 35
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\next.config.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 5975, 0, 0, 0, 0, 1, 5976
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\package.json", "JSON", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 1, 54
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\prisma\migrations\20240226154807_almost_working\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 8, 12, 56
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 28, 104
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\Links.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 42
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\about_me\components\AboutMeSection.tsx", "TypeScript JSX", 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 4, 8, 157
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\about_me\page.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 62
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\api\blog_entry\route.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\api\tag\route.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\api\user\[id]\route.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\blog\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\blog\components\BlogCard.tsx", "TypeScript JSX", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 1, 6, 91
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\blog\components\SearchSidebar.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 4, 47
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\blog\components\TipTapContent.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 3, 43
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\blog\page.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 17, 4, 47
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\dashboard\new_entry\components\BlogEntryForm.tsx", "TypeScript JSX", 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 11, 22, 264
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\dashboard\new_entry\components\TextEditor.tsx", "TypeScript JSX", 0, 0, 0, 394, 0, 0, 0, 0, 0, 0, 3, 13, 410
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\dashboard\new_entry\page.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 17, 4, 32
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\globals.css", "CSS", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 10, 83
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\landing\page.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 5, 44
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\Hero.tsx", "TypeScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 4, 53
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 2, 6, 162
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\Title.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\middleware.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\blog_entry.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 66
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\tag.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\user.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 50
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\supabase.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 8
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\types\next-auth.d.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\db.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 16
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\dictionaries\PrismaClientErrors.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 12
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\prismaClient.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\zod.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 30
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\tailwind.config.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 30, 320, 8, 1286, 73, 21, 6028, 2, 76, 36, 86, 252, 8218
