"filename", "language", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\Links.ts", "TypeScript", 0, -3, 0, 0, 0, 3, 0
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\about_me\components\WorkExperience.tsx", "TypeScript JSX", 0, 0, 0, 0, -10, 0, -10
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\[id]\page.tsx", "TypeScript JSX", 0, 0, 6, 0, 0, 0, 6
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\components\BlogCard.tsx", "TypeScript JSX", 0, 0, 13, 0, 1, 3, 17
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\components\BlogEntry.tsx", "TypeScript JSX", 0, 0, 25, 0, 1, 4, 30
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\components\SearchSidebar.tsx", "TypeScript JSX", 0, 0, -62, 0, 0, -6, -68
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\page.tsx", "TypeScript JSX", 0, 0, -23, 0, 0, -1, -24
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\dashboard\blog_entry\[id]\page.tsx", "TypeScript JSX", 0, 0, -1, 0, 0, 0, -1
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\dashboard\blog_entry\components\BlogEntryForm.tsx", "TypeScript JSX", 0, 0, 49, 0, -5, 1, 45
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\dashboard\blog_entry\components\TextEditor.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 2
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\layout.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 3
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\playground\page.tsx", "TypeScript JSX", 0, 0, 6, 0, 0, 0, 6
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\api\blog_entry\route.ts", "TypeScript", 0, 6, 0, 0, 0, 5, 11
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\globals.css", "CSS", 0, 0, 0, 14, 0, 1, 15
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\ComboboxComponent.tsx", "TypeScript JSX", 0, 0, 158, 0, 1, 6, 165
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, -1, 2
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\Hero.tsx", "TypeScript JSX", 0, 0, -7, 0, 0, 0, -7
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\LanguagesListbox.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 2, 24
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 144, 0, 89, 14, 247
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\Sidebar.tsx", "TypeScript JSX", 0, 0, -250, 0, -3, -11, -264
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\blog_entry.ts", "TypeScript", 0, 34, 0, 0, 0, 3, 37
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\createQuery.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\generateEnglishRSSfeed.js", "JavaScript", 0, 0, 0, 0, 50, 7, 57
"Total", "-", 0, 37, 88, 14, 124, 31, 294
